GEOID,pop_pov,pov_rt
06019005100,6789,34.3
06019005202,3356,33.9
06019005203,4726,34.4
06019005204,4446,37.5
06019005301,6064,20.5
06019005302,5214,39.2
06019005304,5423,34.6
06019005305,3558,24.6
06019005403,3807,54.5
06019005405,3858,14.3
06019005406,3967,17.5
06019005407,3270,11.6
06019005408,1352,77.3
06019005409,3591,33.1
06019005410,3401,15.4
06019005503,5480,4.1
06019005504,3343,3.9
06019005505,6889,7.2
06019005507,5633,5.2
06019005508,5549,6.7
06019005509,4911,16.6
06019005510,4809,19.8
06019005512,4949,3.6
06019005513,2761,1.5
06019005514,3920,1.8
06019005515,1657,6.8
06019005516,5555,10.4
06019005517,7819,4.3
06019005518,5013,2.4
06019005520,2880,1.7
06019005522,4685,6.9
06019005524,4584,2.8
06019005525,1073,1.7
06019005602,5228,30.3
06019005605,1487,2.2
06019005606,4082,18.4
06019005607,4422,21.8
06019005608,3395,22
06019005701,3457,12.5
06019005702,5150,5.7
06019005703,5304,9.2
06019005704,5447,22.1
06019005801,4730,10.1
06019005802,4781,5.7
06019005804,7071,26.2
06019005805,5331,4.9
06019005904,5415,6.6
06019005905,6858,7.8
06019005906,2618,12.3
06019005907,3408,6
06019005909,7240,3.6
06019005911,4697,4.6
06019005912,4340,4.6
06019006000,9039,29.7
06019006100,7988,25.4
06019006201,2486,38.7
06019006202,6501,28.6
06019006300,7565,9.5
06019006402,3021,8.3
06019006403,5488,19.2
06019006404,5084,6
06019006405,5343,10.5
06019006501,6829,38.8
06019006502,4364,49.5
06019006602,5816,34.2
06019006603,2189,19.6
06019006604,8333,36.9
06019006700,6801,16.4
06019006802,3470,35.2
06019006900,3358,38.9
06019007002,4547,26.8
06019007003,8507,18.9
06019007004,5428,12.5
06019007100,7607,35.5
06019007201,7730,16
06019007202,5294,19.8
06019007300,4404,24.1
06019007400,3379,29.3
06019007500,5374,24.4
06019007600,4601,31.8
06019007700,6754,28.5
06019007801,2732,17.7
06019007802,5284,55.4
06019007901,0,-
06019007902,2838,15.2
06019008000,4929,22.5
06019008100,6338,27.2
06019008200,6635,34.2
06019008301,5685,43.9
06019008302,6362,50.4
06019008401,8765,28.9
06019008402,1215,17
06019008501,3961,46.6
06019008502,8848,38.9
06021010100,8201,24.1
06021010200,4571,21.1
06021010300,2009,15.8
06021010400,7243,16.9
06021010501,3886,16.8
06021010502,1632,16.4
06023000100,3786,34.2
06023000200,6110,19.9
06023000300,6373,27.8
06023000400,4105,19.9
06023000500,4093,27.2
06023000600,4717,11
06023000700,4876,13.2
06023000800,5157,13.4
06023000900,5170,15.3
06023001000,5114,37.7
06023001101,7187,36
06023001200,4006,32.2
06023001300,1296,21.2
06023010102,2344,33.8
06023010200,2592,13.4
06023010300,3501,19
06023010400,3597,10.1
06023010501,7269,15.5
06023010502,6412,19.7
06023010600,1852,8.3
06023010700,6855,16.6
06023010800,4272,23.4
06023010901,4542,19.4
06023010902,3820,9.8
06023011000,4953,11.2
06023011100,4585,11.5
06023011200,3487,13.5
06023011500,3288,16.9
06023011600,3435,26.8
06023940000,3384,41.5
06023990100,0,-
06025010101,148,14.9
06025010102,4562,41.1
06025010200,2704,32.7
06025010300,1166,20.1
06025010400,7792,39.3
06025010500,6675,25.8
06025010600,6648,16.9
06025010700,4574,28.4
06025010800,1526,7.3
06025010900,7017,29.4
06025011000,12955,6.6
06025011100,3158,26.2
06025011201,6761,8.8
06025011202,5605,42.6
06025011300,11329,16.9
06025011400,4568,36.8
06025011500,5747,41.3
06025011600,6159,20.4
06025011700,5170,19.3
06025011801,3926,2.1
06025011802,5394,22.6
06025011803,6366,10.1
06025011900,10874,20.8
06025012001,3735,53.8
06025012002,10771,11.2
06025012100,6430,31.2
06025012200,8104,31.9
06025012301,1188,14.9
06025012302,6170,35.2
06025012400,877,18.1
06025940000,1902,30
06027000100,2821,5.7
06027000200,1532,3.5
06027000300,2740,2
06027000400,5582,14.4
06027000500,2322,11
06027000800,2740,17.5
06029000101,13116,11.8
06029000102,3171,20.1
06029000200,7564,42.1
06029000300,4654,45.7
06029000400,4198,40.3
06029000503,7170,6.6
06029000504,4702,30.1
06029000505,3767,7.3
06029000506,2508,11
06029000507,3633,9.5
06029000600,6941,50.5
06029000700,5489,11.9
06029000800,5210,19.9
06029000902,3453,24
06029000903,3766,19.3
06029000904,4559,11.7
06029000905,2472,12.7
06029000906,4414,9.8
06029000907,2810,23.9
06029000908,5471,25.1
06029000909,2475,2.6
06029000910,10812,11.4
06029001000,10332,20.4
06029001101,5440,34.6
06029001102,6772,34.8
06029001103,5358,51.2
06029001201,2579,41.2
06029001202,5814,59.5
06029001300,7785,48.9
06029001400,8991,57.9
06029001500,2543,57.5
06029001600,1799,38.5
06029001700,3810,11.3
06029001801,5954,24.6
06029001802,5370,16.4
06029001901,3870,17.6
06029001902,4820,34.3
06029002000,6478,46.8
